Round Number,Date,Location,Home Team,Away Team,Group,Result
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",Russia,Saudi Arabia,Group A,Russia
1,15/06/2018 15:00,Ekaterinburg Stadium,Egypt,Uruguay,Group A,Uruguay
1,15/06/2018 18:00,Saint Petersburg Stadium,Morocco,Iran,Group B,Iran
1,15/06/2018 21:00,"Fisht Stadium, Sochi",Portugal,Spain,Group B,France
1,16/06/2018 13:00,Kazan Arena,France,Australia,Group C,France
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D,Draw
1,16/06/2018 19:00,Saransk Stadium,Peru,Denmark,Group C,Denmark
1,16/06/2018 22:00,Kaliningrad Stadium,Croatia,Nigeria,Group D,Croatia
1,17/06/2018 15:00,Samara Stadium,Costa Rica,Serbia,Group E,Serbia
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",Germany,Mexico,Group F,Mexico
1,17/06/2018 21:00,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,Draw
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F,Sweden
1,18/06/2018 18:00,"Fisht Stadium, Sochi",Belgium,Panama,Group G,Belgium
1,18/06/2018 21:00,Volgograd Stadium,Tunisia,England,Group G,England
1,19/06/2018 15:00,Saransk Stadium,Colombia,Japan,Group H,Japan
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Poland,Senegal,Group H,Senegal
2,19/06/2018 21:00,Saint Petersburg Stadium,Russia,Egypt,Group A,Russia
2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Portugal,Morocco,Group B,Portugal
2,20/06/2018 18:00,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,Group A,Uruguay
2,20/06/2018 21:00,Kazan Arena,Iran,Spain,Group B,Spain
2,21/06/2018 15:00,Samara Stadium,Denmark,Australia,Group C,Draw
2,21/06/2018 18:00,Ekaterinburg Stadium,France,Peru,Group C,France
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,Croatia
2,22/06/2018 15:00,Saint Petersburg Stadium,Brazil,Costa Rica,Group E,Brazil
2,22/06/2018 18:00,Volgograd Stadium,Nigeria,Iceland,Group D,Nigeria
2,22/06/2018 21:00,Kaliningrad Stadium,Serbia,Switzerland,Group E,Switzerland
2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Belgium,Tunisia,Group G,Belgium
